,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123
341,1,2,3,2,-2,-2,2,2,-2,-2,3,2,2,2,-2,3
342,2,3,3,3,4,4,4,3,3,-2,3,3,3,3,2,3
343,2,2,3,3,-2,3,3,3,-2,3,3,2,3,2,2,2
344,1,2,3,3,-2,2,2,2,3,-2,3,-2,3,-2,2,3
345,1,3,3,4,2,2,3,3,4,4,2,3,4,2,2,3
346,1,3,-2,3,4,3,2,-2,-2,-2,-2,-2,3,2,2,4
347,1,1,-2,1,-2,1,1,1,1,1,1,1,1,2,2,-2
348,1,2,3,3,3,2,2,2,4,-2,-2,1,3,2,2,1
349,1,2,3,3,-2,2,2,2,-2,-2,2,2,2,2,2,-2
350,1,1,2,2,-2,1,1,1,-2,-2,-2,2,1,1,1,1
351,1,1,3,3,-2,2,2,2,-2,-2,2,1,1,1,3,3
352,1,2,2,4,-2,2,2,2,-2,3,3,2,1,2,3,4
353,2,1,3,3,-2,2,3,4,-2,-2,4,-2,3,2,2,4
354,1,1,1,1,-2,1,1,1,1,-2,-2,1,1,2,3,2
355,1,1,1,1,2,1,1,1,-2,-2,4,1,1,1,1,4
356,1,1,1,1,-2,1,1,1,-2,-2,2,1,-2,-2,-2,-2
357,1,1,1,1,-2,1,1,1,1,1,1,1,1,1,1,4
358,1,1,1,1,1,2,2,2,3,3,3,1,2,1,1,1
359,1,3,3,3,-2,2,3,3,-2,-2,3,-2,2,1,1,1
360,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
362,1,2,2,1,-2,2,2,2,4,4,2,4,3,3,2,2
363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
364,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1
365,3,3,3,2,-2,2,3,4,4,4,4,-2,3,-2,-2,2
366,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4
367,1,2,3,1,3,2,1,1,2,1,1,3,1,1,1,1
368,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
369,1,1,1,1,1,1,1,1,1,1,1,-2,1,1,1,1
370,1,1,1,1,-2,1,1,1,-2,-2,1,1,1,1,1,1
371,1,3,2,2,-2,3,3,3,4,4,4,2,1,1,1,1
372,3,3,3,3,3,3,3,4,4,4,4,4,-2,2,-2,-2
373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
374,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
